84,42
84,40
84,45
89,39
91,43
94,39
87,43
83,34
94,35
85,39
86,37
88,39
86,43
88,42
84,43
83,41
93,35
91,37
93,38
84,42
87,42
89,34
95,35
89,35
94,44
82,44
94,44
95,36
92,36
81,41
94,45
81,41
87,40
86,39
81,38
87,40
96,39
91,41
87,43
89,38
80,42
90,40
89,42
81,41
86,41
92,41
90,45
91,39
87,43
86,35
37,62
36,58
36,50
36,46
27,55
30,66
32,49
16,65
30,56
26,51
17,69
36,67
26,28
26,25
40,36
43,74
49,47
46,45
45,21
29,30
24,60
38,56
17,26
41,46
37,39
33,63
20,57
46,60
40,35
29,30
41,54
43,38
49,53
43,47
15,22
18,62
18,24
21,42
34,45
20,68
31,29
15,40
20,39
38,41
16,51
37,45
42,35
41,33
24,60
46,56
52,94
55,95
92,95
91,77
66,94
64,86
46,98
62,75
90,86
85,79
66,79
73,80
46,76
69,90
63,86
47,90
56,75
56,87
91,85
59,82
81,77
94,75
85,86
90,80
89,83
75,92
45,98
57,81
55,87
80,77
81,90
62,83
81,99
67,74
62,90
58,86
57,77
79,98
93,86
65,74
57,98
60,75
57,87
54,75
79,91
85,86
64,95
46,97
92,98
50,85
13,49
15,65
9,89
4,80
8,88
6,61
9,66
5,58
10,76
17,79
15,65
16,47
24,76
4,51
16,58
22,65
9,89
1,53
1,52
0,66
24,63
3,58
1,48
22,56
24,47
3,82
2,46
7,48
11,83
25,72
10,71
2,71
4,82
14,62
24,88
11,62
19,56
24,74
17,72
9,48
23,56
9,55
23,80
6,50
3,74
4,68
14,48
12,49
9,50
22,45
10,74
86,17
96,95
64,73
93,8
52,81
19,27
1,73
68,31
37,58
76,12
88,56
18,72
27,92
57,28
16,57
47,54
49,29
14,25
49,28
84,23
54,5
61,71
78,20
8,75
92,67
21,72
15,27
12,52
32,61
26,8
88,7
64,58
14,17
21,82
41,53
52,89
50,34
33,9
31,38
37,49
56,37
57,88
53,59
71,41
97,33
33,86
53,57
27,50
1,40
18,39
54,36
10,81
59,36
6,40
66,98
5,72
25,18
45,77
83,36
86,25
9,10
22,99
70,19
67,69
83,9
8,42
28,19
23,78
74,48
65,85
65,75
72,96
41,79
68,86
27,19
35,2
48,52
23,45
81,16
73,96
95,36
32,8
40,83
2,3
91,2
42,32
71,33
45,98
69,71
23,34
40,23
77,9
97,70
42,16
82,19
73,39
89,54
53,33
37,28
26,62
21,43
56,44
47,45
58,55
25,46
39,36
24,43
30,42
46,58
26,36
45,46
53,52
29,45
42,56
19,63
43,60
47,40
24,49
15,48
32,62
23,56
35,37
56,47
30,52
41,51
17,50
41,43
55,65
20,58
50,42
20,40
41,53
15,57
41,43
25,56
23,57
47,37
40,65
44,49
19,43
39,48
59,51
20,54
34,52
56,47
21,37
51,39
53,62
43,43
43,62
28,39
39,45
30,39
27,58
37,36
31,57
32,38
31,38
27,37
40,60
39,45
41,38
28,43
43,46
45,36
27,38
44,52
29,63
41,37
37,39
28,40
30,54
44,41
43,40
33,59
37,57
41,53
30,57
39,52
38,48
28,36
44,56
45,39
31,56
39,60
27,49
41,37
40,61
25,37
31,42
30,49
29,45
40,59
38,47
33,36
33,44
33,40
38,45
39,61
41,55
34,38
26,49
29,40
37,41
32,41
35,57
25,40
43,56
30,38
40,60
30,43
38,41
41,54
40,56
34,37
41,49
40,54
33,54
